uuid,quarter_hour_of_day,day_type,poi_type,duration,probability
68bf282d-9cdd-4bfc-9a22-a22fe566954c,0,weekday,home,60,1.0
e7585c96-6553-46b0-b0b3-5c77039db5c6,1,weekday,home,60,1.0
39da4cb9-37b7-4dae-8e0e-6aad0e602588,2,weekday,home,60,1.0
f0fe0299-b6e3-48c5-ad05-1ecc8bc15a0c,3,weekday,home,60,1.0
c17a7977-8ae4-47a1-87fb-dcb324ca0568,4,weekday,home,60,1.0
4e872ce0-6b50-4aba-89ae-6e1b00eff9a8,5,weekday,home,60,1.0
c80e63dd-f0d0-4365-90a8-81642f9cf70e,6,weekday,home,60,1.0
7cf419a0-7cd1-4364-9f46-b8d6575af6ad,7,weekday,home,60,1.0
80fa17fc-0220-4ac4-b154-4ce76ca55af0,8,weekday,home,60,1.0
892e1809-5343-491f-a9f5-4ed20e661f4e,9,weekday,home,60,1.0
692b087a-2cac-40bf-bd88-0c058fe41126,10,weekday,home,60,1.0
25216783-6938-45fc-8ece-5699c67375de,11,weekday,home,60,1.0
26650e4e-7dc4-4b08-b1e8-4aaaebfe99b4,12,weekday,home,60,1.0
8697c7f7-c7eb-4d7b-bea8-68916d59d775,13,weekday,home,60,1.0
275b27c8-9a5c-4bde-8c45-6f731567fc49,14,weekday,home,60,1.0
e1fd73c0-708b-4659-9722-bb82cd7daf8b,15,weekday,home,60,1.0
5778f27e-636c-4e99-88c2-c9cb42193630,16,weekday,home,60,1.0
5a195bb7-4b64-437c-95ca-75304fe3874a,17,weekday,home,60,1.0
9af49d1f-a682-40d9-a286-0e592e16fbbc,18,weekday,home,60,1.0
b5de1eaf-2dc9-4670-8911-63986f201b18,19,weekday,home,60,1.0
90901bb9-c2b5-4b2a-85fa-f8bfc8ff07e3,20,weekday,home,60,1.0
36cef9ea-75db-44af-b5e3-3143c43d4482,21,weekday,home,60,1.0
fc0e8517-510b-4ab5-b241-123c26138b4c,22,weekday,home,60,1.0
c2b7741b-a296-47b8-be91-aee3a7ae135e,23,weekday,home,60,1.0
e8695d59-5877-45a8-b654-784b11ad5caa,24,weekday,home,60,1.0
66d4397b-b4a1-43f8-bc48-b7935757525b,25,weekday,home,60,1.0
c6771877-24a7-43b7-ad6e-bab848cca0e5,26,weekday,home,60,1.0
654c1bbb-5713-4e7f-90ad-be7915ae30c4,27,weekday,home,60,1.0
0a84b3b3-b034-48cd-b90d-a23845e87efb,28,weekday,home,60,1.0
bb3f74d6-b96d-4a0f-9f8f-3fb31c732932,29,weekday,home,60,1.0
0c375c67-db00-420b-bf66-b531078ecc4e,30,weekday,home,60,1.0
9ea0cec0-461d-4ea1-9dc4-06b86e93c6a4,31,weekday,home,60,1.0
30e00ca6-0098-4d45-90a4-fa80e3120d82,32,weekday,home,60,1.0
1ac0e85d-cc55-4b15-89fc-049b988159cc,33,weekday,home,60,1.0
86b08e3b-4b81-4d49-8f59-403162a272a2,34,weekday,home,60,1.0
2ab7fc81-b2ca-4d4f-a019-8801e3a70935,35,weekday,home,60,1.0
383ce4d1-6476-48ad-929e-1deca10ff875,36,weekday,home,60,1.0
ec3e3778-de26-450b-be31-49f5c8af1433,37,weekday,home,60,1.0
ae451543-01c0-453f-b611-c421b2d2c433,38,weekday,home,60,1.0
d9eebb05-57cd-484d-8b86-b2ca0d7892c7,39,weekday,home,60,1.0
ea71f3c7-411c-45aa-8e8a-669377d5a1d9,40,weekday,home,60,1.0
596b3864-a9e2-4091-abde-a3b20425f677,41,weekday,home,60,1.0
f03c2e3f-b345-45ef-94f6-f1aacae9e261,42,weekday,home,60,1.0
46008fd1-05dc-4418-b330-018f72a45b7a,43,weekday,home,60,1.0
6e7b6dd8-b365-4f9d-99eb-7ef393d983e1,44,weekday,home,60,1.0
b4b06e2a-ab20-4599-87bf-8aaacec2118c,45,weekday,home,60,1.0
0cd51daa-2479-46e1-a109-d99e9c69547e,46,weekday,home,60,1.0
e040daec-5fa3-4be1-98ae-5329db32e837,47,weekday,home,60,1.0
a5ecb431-a18f-497c-84ab-c4b407e05b15,48,weekday,home,60,1.0
66405bde-9ccc-40bb-a12c-1f4c911b713f,49,weekday,home,60,1.0
8f68bfe0-af45-4d4a-8267-9338c1ae106a,50,weekday,home,60,1.0
d2df6b3f-4c81-47ee-b7b1-de51c95481a9,51,weekday,home,60,1.0
5909ff17-71f3-4656-b10d-20f1a02d5677,52,weekday,home,60,1.0
d33afd10-37b2-4b98-a0f8-a8243d72d620,53,weekday,home,60,1.0
f899f607-a29a-4cf5-a572-2e86f5a92523,54,weekday,home,60,1.0
6f338fd6-7ef1-45fa-8539-4aee107c663f,55,weekday,home,60,1.0
4afe77bc-b398-474d-9b13-aaa32d068af5,56,weekday,home,60,1.0
acbc5951-da96-40fa-9987-a759043807d6,57,weekday,home,60,1.0
